Comment,Designator,Footprint,LCSC,Quantity
100R,"R5,R7",R_0402_1005Metric,C25076,2
100n,"C11,C18,C20,C25,C26,C9",C_0402_1005Metric,C1525,6
100n,"C6,C7,C8",C_0805_2012Metric,C28233,3
10k,"R11,R12,R4,R6",R_0402_1005Metric,C25744,4
10u,"C10,C19,C21,C24,C27",C_0603_1608Metric,C19702,5
1u,"C22,C23",C_0805_2012Metric,C28323,2
3.6k,R8,R_0402_1005Metric,C25891,1
33,"R13,R14,R15,R16",R_0402_1005Metric,C25105,4
330,R10,R_0402_1005Metric,C25104,1
4u7,"C1,C2,C3,C4,C5",C_0805_2012Metric,C1779,5
560,R9,R_0402_1005Metric,C25126,1
5k1,"R1,R2",R_0402_1005Metric,C25905,2
AP2112K-3.3,U3,SOT-23-5,C51118,1
B2B-PH-K-S,BAT,CONN-TH_B2B-PH-K-S,C131337,1
ES8388,U5,QFN-28_L4.0-W4.0-P0.45-BL-EP,C365736,1
ESP32-S3-WROOM-1,U2,ESP32-S3-WROOM-1,C2913202,1
LED,D4,LED_0402_1005Metric,C71911,1
LED,D5,LED_0402_1005Metric,C74338,1
PESD5V0L1ULD,D1,D_SOD-882D,C552557,1
PJ-320D,CN1,AUDIO-SMD_PJ-320D-1,C431535,1
SS14,"D2,D3",SMA_L4.2-W2.6-LS5.0-RD_1,C2480,2
TP4056_C382139,U4,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,C382139,1
TS-1088-AR02016,"BOT,RST",SW-SMD_L3.9-W3.0-P4.45,C720477,2
USBLC6-2SC6,U1,SOT-23-6,C2827654,1
USB_C_Receptacle_USB2.0_16P,J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,C2988369,1
XDMK-12C01-25,PWR,SW-SMD_XDMK-12C01-25,C7498220,1
